,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
8467,1, Ramamurthy Nagar,13.012,77.679,600,100000,10000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-ramamurthy-nagar-bangalore-for-rs-10000/8a9f918d75cfecc40175d05ef7503992/detail
8468,1, Ramamurthy Nagar,13.013,77.681,800,100000,10000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-ramamurthy-nagar-bangalore-for-rs-10000/8a9f821375cfecbe0175d06463a03a1a/detail
8469,2, Bellandur,12.924,77.664,1048,60000,14000,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-14000/ff80818164e9d0e60164e9dd79c90734/detail
8471,2, Murgesh Pallya,12.959,77.657,1400,80000,15000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-murgesh-pallya-bangalore-for-rs-15000/8a9f829f75aeb86d0175aec76d9b00d4/detail
8472,2, Varthur,12.959,77.732,1130,100000,21000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-21000/8a9f926d76431d34017643c6a0fa23d9/detail
8473,3, Whitefield,12.98,77.711,1690,200000,41000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-41000/8a9fad8276e69cb40176e72f78ce3373/detail
8475,3, Begur,12.868,77.651,1475,100000,16500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-begur-bangalore-for-rs-16500/ff8081816599c2fc01659a050ffe2c73/detail
8478,2, Marathahalli,12.958,77.705,1336,200000,36000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-36000/8a9f9f8b76ed0c230176ed9e54543d65/detail
8483,1, Marathahalli,12.954,77.696,1200,50000,13500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-13500/8a9fa38276ed0ce50176ed1e5dbe036e/detail
8484,1, Indiranagar,12.978,77.641,178,35000,6000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-indiranagar-bangalore-for-rs-6000/8a9f8606703dc315017044c250b8625f/detail
8485,1, Rajaji Nagar,12.988,77.56,100,60000,10000,UnFurnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-rajaji-nagar-bangalore-for-rs-10000/ff8081816863fe48016864d85c346937/detail
8486,3, Mahadevapura,12.984,77.689,1500,95000,33000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-33000/8a9f8e8776ec6afe0176ece2637d245b/detail
8487,3, Kasturi Nagar,13.006,77.659,1800,200000,30000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kasturi-nagar-bangalore-for-rs-30000/8a9f938276e21af00176e265d9b21701/detail
8489,2, Hsr Layout,12.897,77.655,1155,150000,22500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-22500/ff8081815def3b73015df398ff9c6d4e/detail
8490,2, Banaswadi,13.006,77.65,1200,150000,21000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-21000/8a9fa18276a975ce0176aa0704812863/detail
8495,2, J. P. Nagar,12.895,77.59,1265,120000,27000,Full Furnished,3-5 years ,Family,18-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-j.-p.-nagar-bangalore-for-rs-27000/8a9fad8276eb1e860176eb8de2b92c34/detail
8496,3, C V Raman Nagar,12.984,77.656,1450,200000,28500,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-c-v-raman-nagar-bangalore-for-rs-28500/8a9fa78276ec67b60176ed0aeacb3114/detail
8497,2, Bilekahalli,12.901,77.605,1000,150000,15000,UnFurnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bilekahalli-bangalore-for-rs-15000/8a9f998376ec6af90176ecbf93bc1a93/detail
8499,1, Krishnarajapura,13.015,77.731,640,50000,7000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-7000/8a9f92f275956684017596859ce21a7d/detail
8501,1, Lingarajapuram,13.008,77.63,300,30000,5000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-lingarajapuram-bangalore-for-rs-5000/8a9f91e872c674360172c8b539f73d30/detail
8503,2, Hulimavu,12.877,77.615,1200,125000,16500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hulimavu-bangalore-for-rs-16500/ff808181680fda3b01681192a73b1121/detail
8506,3, Jp Nagar,12.91,77.586,1500,300000,35000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-35000/8a9fa08276ec67b80176ec7a39340637/detail
8508,3, Bellandur,12.929,77.679,1800,300000,40000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-40000/ff8081816a6d0c50016a6d582691172d/detail
8510,2, Marathahalli,12.957,77.701,850,75000,15000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-15000/8a9f92677399f9a101739a08eb350531/detail
8516,2, Haralur,12.899,77.657,750,100000,17000,Semi Furnished,1-3 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-haralur-bangalore-for-rs-17000/ff8081816ad62cc3016ad734b15a216a/detail
8517,2, Haralur,12.899,77.657,750,100000,17000,Semi Furnished,1-3 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-haralur-bangalore-for-rs-17000/ff8081816ad62cc3016ad734b15a216a/detail
8520,2, Jp Nagar,12.912,77.587,800,140000,14500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-14500/ff80818165b862810165ba09fbb47c7c/detail
8521,3, Kaggadasapura,12.979,77.676,1550,175000,25500,Semi Furnished,5-10 years ,All,25-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-25500/ff808181626622650162667a85661c87/detail
8522,1, Horamavu,13.038,77.664,450,20000,4500,UnFurnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-4500/8a9f8293754b430501754da460527b43/detail
8524,3, Kasavanahalli,12.902,77.673,1450,150000,22500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-22500/ff808181654a1d3c01655284a76c54d3/detail
8525,2, Kadubeesanahalli,12.935,77.702,1335,150000,21000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-21000/ff80818166b0b77d0166b4cfe3325d48/detail
8526,2, Vijayanagar,12.97,77.536,1200,100000,12000,Semi Furnished,>10 years ,All,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-vijayanagar-bangalore-for-rs-12000/ff8081816b2c7652016b2c78e38b0102/detail
8527,2, Kadubeesanahalli,12.935,77.702,1335,150000,21000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-21000/ff80818166b0b77d0166b4cfe3325d48/detail
8528,2, Vijayanagar,12.97,77.536,1200,100000,12000,Semi Furnished,>10 years ,All,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-vijayanagar-bangalore-for-rs-12000/ff8081816b2c7652016b2c78e38b0102/detail
8530,1, Vijayanagar,12.971,77.527,900,60000,6500,UnFurnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-vijayanagar-bangalore-for-rs-6500/8a9f82db7650028a01765067b89a1af7/detail
8532,2, Whitefield,12.978,77.742,1108,100000,16000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-16000/8a9f923f763c2e4901763c6d59e921b1/detail
8534,2, Btm Layout,12.912,77.608,1000,125000,24000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-24000/8a9f820a762d380601762d5cd0200c74/detail
8541,3, Choodasandra,12.886,77.682,1580,100000,19000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-19000/ff8081816eb754d9016eb8d645965dc4/detail
8543,1, Banashankari,12.927,77.551,300,45000,5300,Semi Furnished,>10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-banashankari-bangalore-for-rs-5300/8a9f912874064db7017406fa076e5f10/detail
8544,3, Electronic City,12.836,77.667,1595,125000,27000,Semi Furnished,Newly Constructed,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-27000/8a9fa58276ec67bb0176ecefe3632abc/detail
8550,2, Dooravani Nagar,13.001,77.667,600,60000,7500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-dooravani-nagar-bangalore-for-rs-7500/8a9f93df75d0c5890175d424091232a2/detail
8551,1,others,12.996,77.719,400,40000,7000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-hoodi-railway-station-sadaramangala-road-ayyappa-nagar-krishnarajapura-bengaluru-karnataka-india-bangalore-for-rs-7000/ff8081816874be2a016874e2161c0b00/detail
8552,1, Banaswadi,13.016,77.653,450,40000,7500,Semi Furnished,5-10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-banaswadi-bangalore-for-rs-7500/ff80818169668f2b01696801d54d467f/detail
8553,1, Hsr Layout,12.908,77.643,550,60000,19000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-19000/ff8081816e4b173b016e4b6bee1a327b/detail
8556,2, Choodasandra,12.885,77.672,1050,150000,15000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-15000/8a9f9d8276d208ac0176d297547132a9/detail
8558,2, Choodasandra,12.885,77.672,1050,150000,15000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-15000/8a9f9d8276d208ac0176d297547132a9/detail
8559,2, Hbr Layout,13.034,77.638,1200,100000,16000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hbr-layout-bangalore-for-rs-16000/8a9f938f755597f1017555ee7bb52099/detail
8560,1, Btm Layout 1,12.922,77.61,580,40000,10000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-layout-1-bangalore-for-rs-10000/8a9f915d750cdded017512df93fe7563/detail
8561,2, Singasandra,12.882,77.653,1200,100000,17000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-singasandra-bangalore-for-rs-17000/8a9f8207727b6d20017282b49add17d7/detail
8563,1, Balagere,12.939,77.72,656,150000,19000,Semi Furnished,Newly Constructed,All,01-Feb-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-balagere-bangalore-for-rs-19000/ff8081816a4a98ab016a4d6bbb8d742c/detail
8564,2, Hoodi,12.992,77.719,1271,150000,28000,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-28000/ff8081815d9de446015d9df412da0889/detail
8565,1, Indiranagar,12.975,77.634,750,80000,16500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-16500/8a9f8129721387f00172139710530335/detail
8568,2, Kaggadasapura,12.976,77.679,1175,80000,17000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-17000/ff8081814f8dbe31014f91fbef4d1668/detail
8569,3, Mahadevapura,12.986,77.688,1620,150000,23000,Semi Furnished,5-10 years ,All,29-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-23000/ff80818152796dfd01527c34ed24088a/detail
8572,2, Bellandur,12.926,77.665,1100,150000,30000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-30000/8a9fa08276ec67b80176ecdaf7be24f2/detail
8573,2, Rr Nagar,12.924,77.505,1100,100000,13000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rr-nagar-bangalore-for-rs-13000/ff8081815fe25f09015fe8bb99be18c6/detail
8574,1, Rajaji Nagar,12.992,77.557,200,50000,6000,Semi Furnished,5-10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-rajaji-nagar-bangalore-for-rs-6000/ff8081815d0c68fb015d0cb922620f21/detail
8575,3, C V Raman Nagar,12.984,77.656,1450,200000,28500,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-c-v-raman-nagar-bangalore-for-rs-28500/ff8081814ebc4751014ebefc7f52079a/detail
8577,2, Varthur,12.939,77.738,1012,150000,25000,Full Furnished,1-3 years ,All,29-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-25000/8a9f8c8576eb21b90176eb6777f81cfb/detail
8578,3, Whitefield,12.977,77.752,1701,150000,30000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-30000/ff8081816906480301690658ab350699/detail
8579,1, Whitefield,12.956,77.738,250,20000,5000,Full Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-whitefield-bangalore-for-rs-5000/8a9f916b731830fb0173187102681e24/detail
8580,2, Hebbal Kempapura,13.055,77.605,800,50000,11500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-kempapura-bangalore-for-rs-11500/ff808181606da95a0160726eb3df0196/detail
8581,3, Bommanahalli,12.911,77.625,1100,100000,25000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-25000/ff8081816f11b90c016f139a860670d3/detail
8582,2, Hoodi,12.993,77.714,1264,150000,15000,Semi Furnished,5-10 years ,All,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-15000/8a9f9c8276ec67b60176ed0351712f13/detail
8583,1, Yelahanka,13.115,77.577,144,40000,4000,UnFurnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-yelahanka-bangalore-for-rs-4000/8a9fa98276ec67bc0176eccc9f242120/detail
8584,3, Kasavanahalli,12.901,77.675,1495,250000,30000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-30000/8a9fc38276793474017679b8b63c2812/detail
8586,3, Kasavanahalli,12.901,77.675,1495,250000,30000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-30000/8a9fc38276793474017679b8b63c2812/detail
8589,2, Whitefield,12.976,77.759,1296,64000,16000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-16000/ff8081814f0cb8cb014f12177d0320d5/detail
8591,2, Uttarahalli Hobli,12.908,77.544,900,70000,10000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-simhadri-layout-uttarahalli-hobli-bangalore-for-rs-10000/8a9f8f866f85804d016f88c5ea073aa2/detail
8592,3, C V Raman Nagar,12.991,77.661,1550,160000,30000,Semi Furnished,>10 years ,Family,17-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-c-v-raman-nagar-bangalore-for-rs-30000/ff80818156e9ac530156e9ce0e06075b/detail
8593,1, Basaveshwar Nagar,12.993,77.527,150,20000,3000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-basaveshwar-nagar-bangalore-for-rs-3000/8a9f86ac70763f57017076669e5412da/detail
8595,2, Basaveshwar Nagar,12.993,77.527,600,50000,8000,UnFurnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-basaveshwar-nagar-bangalore-for-rs-8000/ff80818153402111015341c36b322335/detail
8596,1, Basaveshwar Nagar,12.993,77.527,400,30000,5000,UnFurnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-basaveshwar-nagar-bangalore-for-rs-5000/8a9f8bfe70de64e30170df01bc08406a/detail
8597,3, Electronic City Phase I,12.862,77.662,1425,75000,22000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-phase-i-bangalore-for-rs-22000/ff808181695c7b3901695c8efa420454/detail
8600,1, Konanakunte,12.882,77.565,500,50000,6000,UnFurnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-konanakunte-bangalore-for-rs-6000/8a9f8184708b0b9201708bf68dd15440/detail
8603,2, Rayasandra,12.865,77.687,972,50000,17500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-south-avenue-road-rayasandra-bangalore-for-rs-17500/ff80818159fa0f0f015a033882922b8b/detail
8605,3, Parappana Agrahara,12.89,77.668,1520,150000,32000,Semi Furnished,1-3 years ,Family,01-Mar-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-parappana-agrahara-bangalore-for-rs-32000/ff8081816b7acfa8016b7d21d83e44fa/detail
8609,3, Hoodi,12.994,77.715,1875,250000,30000,Semi Furnished,3-5 years ,Family,01-Mar-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-30000/ff80818158ca61f90158cddbd7a435fd/detail
8610,3, Doddanekkundi,12.973,77.7,1500,120000,28000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-28000/ff80818154673c8e01546aba1419176c/detail
8611,2, Thanisandra,13.054,77.631,1200,100000,13000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-thanisandra-bangalore-for-rs-13000/8a9f935e738545eb0173894fe05a6a10/detail
8612,2, Kalyan Nagar,13.017,77.643,1200,100000,25000,Semi Furnished,1-3 years ,Family,01-Mar-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kalyan-nagar-bangalore-for-rs-25000/8a9f9a8276ebc3470176ebde5b8d0a15/detail
8613,2, Thanisandra,13.054,77.631,1200,100000,13000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-thanisandra-bangalore-for-rs-13000/8a9f935e738545eb0173894fe05a6a10/detail
8614,2, Kalyan Nagar,13.017,77.643,1200,100000,25000,Semi Furnished,1-3 years ,Family,01-Mar-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kalyan-nagar-bangalore-for-rs-25000/8a9f9a8276ebc3470176ebde5b8d0a15/detail
8615,3, Horamavu,13.028,77.663,1845,300000,30000,Full Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-30000/8a9fa98276ec67bc0176ec908c230d94/detail
8617,3, Doddakannelli,12.902,77.703,1684,150000,28000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-doddakannelli-bangalore-for-rs-28000/8a9fa78276e9d4840176ea528abd08cb/detail
8618,1, Basaveshwar Nagar,12.995,77.537,300,50000,6600,UnFurnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-basaveshwar-nagar-bangalore-for-rs-6600/ff8081816759918e016759ced32d271f/detail
8620,2, Brookefield,12.968,77.716,1139,200000,27500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-27500/8a9fa38276d80f220176d84cea841dc8/detail
8623,2, Banaswadi,13.007,77.645,1000,100000,17000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-17000/ff8081816677bed901667b9d2adf317b/detail
8624,2, Whitefield,12.955,77.718,1250,100000,23000,Semi Furnished,5-10 years ,All,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-23000/8a9f822e765cdf8c01765cf8cb670569/detail
8625,1, Marathahalli,12.956,77.692,550,50000,12500,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-12500/8a9f91df746de7a401746e2cdb083151/detail
8626,2, Doddanekkundi,12.97,77.689,1100,40000,14000,Semi Furnished,3-5 years ,Family,17-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-14000/8a9f8ae470e2b8590170e2dc4cf21130/detail
8629,3, Rr Nagar,12.912,77.513,1640,200000,22000,Semi Furnished,3-5 years ,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rr-nagar-bangalore-for-rs-22000/8a9fab8276d684c70176d6cd1660293f/detail
8630,1, Jalahalli West,13.058,77.51,500,30000,5500,UnFurnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jalahalli-west-bangalore-for-rs-5500/ff8081816c709b8a016c70b6404f0bae/detail
8631,2, Doddanekkundi,12.975,77.682,1000,100000,18000,Semi Furnished,3-5 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-18000/ff8081815549ca3c01554d3cb4de1ec8/detail
8632,1, Krishnarajapura,13.011,77.705,450,40000,8500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-8500/ff8081815ff78540015ffbd9eca22172/detail
8636,1, J. P. Nagar,12.911,77.59,400,30000,5000,UnFurnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-18th-b-main-road-j.-p.-nagar-bangalore-for-rs-5000/8a9fa98276ec67bc0176ecc89b562001/detail
8638,2, Choodasandra,12.892,77.674,1455,150000,30000,Full Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-30000/ff8081816d0ab81b016d0b6596287aa9/detail
8639,2, Yeshwanthpur,13.02,77.557,1400,200000,21000,Semi Furnished,3-5 years ,All,15-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yeshwanthpur-bangalore-for-rs-21000/ff808181573dacb50157412b28e24d10/detail
8640,2, Horamavu,13.02,77.666,1000,40000,20000,Full Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-20000/ff8081816d53dff3016d578889797ec1/detail
8642,2, Horamavu,13.02,77.666,1000,40000,20000,Full Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-20000/ff8081816d53dff3016d578889797ec1/detail
8644,2, Varthur,12.942,77.751,1055,150000,16000,Semi Furnished,3-5 years ,Family,31-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-16000/8a9fa98376df87be0176e00947cd0981/detail
