,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
8396,1, Hebbal,13.039,77.6,700,49000,8000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-8000/8a9f9392747c079501747c49b0dc22c9/detail
8399,4, Bommanahalli,12.898,77.614,2120,250000,28000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-28000/ff808181674bc29901674bc34cba0011/detail
8400,1, Ejipura,12.939,77.631,200,15000,5000,Semi Furnished,1-3 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-ejipura-bangalore-for-rs-5000/ff8081816e4f64b7016e56892d467d17/detail
8402,2, Banashankari,12.922,77.567,1200,160000,17000,Full Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-17000/ff808181554f36250155527da5ca1bd4/detail
8404,2, Kumaraswamy Layout,12.901,77.565,900,100000,17000,UnFurnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kumaraswamy-layout-bangalore-for-rs-17000/8a9f912f747ca134017480a43ce84760/detail
8405,1, Banashankari,12.934,77.555,400,50000,8000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kathriguppe-banashankari-3rd-stage-banashankari-bangalore-for-rs-8000/8a9f8145724a64ea01724f560042139a/detail
8407,3, Electronic City,12.839,77.652,2000,100000,33000,UnFurnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-33000/ff8081815f104fdf015f15c567e670c3/detail
8408,2, Hbr Layout,13.025,77.628,1200,100000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hbr-layout-bangalore-for-rs-18000/ff808181604e897001604ea1aa8008ea/detail
8409,1, Electronic City,12.849,77.672,350,25000,9000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-9000/8a9f86f57028d2dc017029acdf4974de/detail
8410,1, Kadugodi,12.985,77.757,600,25000,7000,UnFurnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kadugodi-bangalore-for-rs-7000/8a9f91d77426515d0174297b4b7f3581/detail
8411,2, Thanisandra,13.063,77.622,1328,250000,22000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-thanisandra-bangalore-for-rs-22000/ff808181665325b401665344dfc50a57/detail
8412,2, Rayasandra,12.874,77.669,1200,100000,15000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rayasandra-bangalore-for-rs-15000/ff80818166dd2ae70166ddce4e9c4093/detail
8414,1, Mahadevapura,12.993,77.681,600,35000,8500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-8500/8a9f82af75ef69800175efa395c11321/detail
8415,2, Hosakerehalli,12.928,77.538,600,80000,9000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-2nd-cross-road-hosakerehalli-bangalore-for-rs-9000/8a9f938775ff81ed0175ffe90afd19e8/detail
8416,1, Doddanekkundi,12.972,77.693,400,40000,10000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-10000/ff80818164f3febf0164f4ffef587c3f/detail
8417,1, Doddakannelli,12.913,77.7,600,35000,9000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-doddakannelli-bangalore-for-rs-9000/8a9f912975fa5f290175fa8e91d40c53/detail
8419,2, Chikkakannalli,12.906,77.699,1049,100000,20000,Semi Furnished,1-3 years ,Family,01-Mar-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chikkakannalli-bangalore-for-rs-20000/ff8081816836979301683872adc7081f/detail
8420,1, Brookefield,12.967,77.718,560,65000,15800,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-15800/ff8081815b473281015b475c19361246/detail
8421,1, Ramamurthy Nagar,13.021,77.683,600,60000,8000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-5th-f-cross-road-ramamurthy-nagar-bangalore-for-rs-8000/8a9f91b873398bda01733e30ec4d2cef/detail
8422,3, J. P. Nagar,12.902,77.601,1360,150000,25000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--j.-p.-nagar-bangalore-for-rs-25000/8a9f91c3733e3ad9017343738f8a636d/detail
8424,3, Bellandur,12.921,77.674,1865,200000,36000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-36000/8a9f8208728369450172836b4a780126/detail
8427,3, Hulimavu,12.882,77.613,1800,250000,40000,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hulimavu-bangalore-for-rs-40000/8a9f97d276d729300176d78cfc713933/detail
8428,3, Banashankari,12.923,77.553,1500,165000,15000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-banashankari-bangalore-for-rs-15000/ff8081816035b4920160367cace26a3b/detail
8429,2, Bellandur,12.928,77.67,1050,100000,26000,Semi Furnished,>10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-26000/ff8081815c7c6b2d015c81275aac0946/detail
8430,2, Gottigere,12.857,77.592,965,100000,12000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gottigere-bangalore-for-rs-12000/8a9f93b076043e040176045f0ffe09d9/detail
8433,3, Thanisandra,13.056,77.632,1595,200000,22500,Semi Furnished,1-3 years ,Family,20-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-thanisandra-bangalore-for-rs-22500/8a9f998276c5a8950176c77ed9d40167/detail
