BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
3, Sanjay Nagar,13.033,77.575,2415,300000,34000,Semi Furnished,>10 years ,Family,16-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sanjay-nagar-bangalore-for-rs-34000/8a9fa78276f6b4c00176f722cbc01f6b/detail
3, Harlur,12.892,77.667,1565,150000,35000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-harlur-bangalore-for-rs-35000/8a9f82b87086dce801708745dea428fd/detail
2, Indiranagar,12.982,77.637,680,180000,18000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-18000/ff80818165dbc8130165e2cbebc06b15/detail
1, Hongasandra,12.89,77.625,550,50000,8500,Semi Furnished,1-3 years ,Family,15-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hongasandra-bangalore-for-rs-8500/8a9f9c8276da41f70176da61b6520096/detail
2, Kodandarama Nagar,12.9,77.684,1100,5000,16500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-7-green-villas-halanayakanahalli-bangalore-kodandarama-nagar-bangalore-for-rs-16500/ff80818153a92a310153ac9eefb41922/detail
1, Hsr Layout,12.912,77.645,450,50000,11000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-11000/8a9f93d476093839017609b89fad25f9/detail
3, Mahadevapura,12.984,77.689,1560,100000,28000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-28000/8a9f82c374f997bc0174f9fae0f51e49/detail
1, Indiranagar,12.971,77.637,650,60000,13000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-13000/ff8081816631323d0166339246bd0152/detail
3, Bilekahalli,12.902,77.603,1570,200000,27000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bilekahalli-bangalore-for-rs-27000/8a9f923176691a14017669a2153f0a3f/detail
2, Jp Nagar,12.888,77.578,1040,150000,23000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-23000/8a9f828f754a8df801754a952f2602aa/detail
3, Bommenahalli Village,13.066,77.743,1165,100000,17000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bommenahalli-village-bangalore-for-rs-17000/8a9f934d730481f5017304910e0b0695/detail
2, Kasavanahalli,12.909,77.663,973,150000,22000,Semi Furnished,3-5 years ,All,17-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-22000/ff808181664348c30166436a5c0309e9/detail
2, Westline College,13.104,77.634,750,100000,10000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-westline-college-bangalore-for-rs-10000/ff8081816dbfe672016dc36d1aa756f1/detail
2, Westline College,13.104,77.634,750,100000,10000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-westline-college-bangalore-for-rs-10000/ff8081816dbfe672016dc36d1aa756f1/detail
2, Bellandur,12.922,77.677,1050,150000,30000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-30000/8a9f91c3733e3ad90173422c3bbe50ca/detail
3, Jp Nagar 7th Phase,12.887,77.578,1750,180000,25000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-jp-nagar-7th-phase-bangalore-for-rs-25000/8a9f93dd74e4898e0174edf763831f03/detail
